Nr;Zuwendungsempfänger;Projektbezeichnung;Fördersumme nach Jahr und Gesamt;Gesamtförder- zeitraum;Programmbereich
328;Kreis Mettmann;Kreis Mettmann;2023: 112.500,00 € 2024: 74.700,00 € Gesamt: 187.200,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
329;Kreis Offenbach;Kreis Offenbach ohne Dietzenbach, Langen, Heusenstamm und Neu-Isenburg;2023: 108.000,00 € 2024: 108.000,00 € Gesamt: 216.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
330;Kreis Paderborn;Kreis Paderborn;2023: 123.750,00 € 2024: 123.750,00 € Gesamt: 247.500,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
331;Kreis Schleswig-Flensburg;Kreis Schleswig-Flensburg;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.06.2021 - 31.12.2024;Partnerschaften für Demokratie
332;Kreis Steinfurt;Kreis Steinfurt;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2022 - 31.12.2024;Partnerschaften für Demokratie
333;Kreis Viersen;Kreis Viersen;2023: 125.000,00 € 2024: 134.000,00 € Gesamt: 259.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
334;Kreisausschuss des Landkreises Hersfeld-Rotenburg;Landkreis Hersfeld-Rotenburg;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;15.05.2021 - 31.12.2024;Partnerschaften für Demokratie
335;Kreisstadt Dietzenbach;Kreisstadt Dietzenbach;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
336;Kreisstadt Homburg;Stadt Homburg;2023: 99.000,00 € 2024: 99.000,00 € Gesamt: 198.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
337;Kyffhäuserkreis;Kyffhäuserkreis;2023: 159.000,00 € 2024: 160.000,00 € Gesamt: 319.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
338;Lahn-Dill-Kreis;Lahn-Dill-Kreis;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
339;Land Berlin - Bezirksamt Marzahn-Hellersdorf von Berlin;Hellersdorf;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
340;Land Berlin - Bezirksamt Marzahn-Hellersdorf von Berlin;Großregion Marzahn mt Biesdorf;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
341;Land Berlin, vertreten durch Bezirksamt Friedrichshain- Kreuzberg von Berlin;Berlin - Bezirksamt Friedrichshain- Kreuzberg;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
342;Land Berlin, vertreten durch Bezirksamt Friedrichshain- Kreuzberg von Berlin;Berlin - Kreuzberg;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2022 - 31.12.2024;Partnerschaften für Demokratie
343;Landeshauptstadt Dresden;Landeshauptstadt Dresden;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
344;Landeshauptstadt Düsseldorf;Stadt Düsseldorf;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
345;Landeshauptstadt Erfurt;Stadt Erfurt;2023: 210.000,00 € 2024: 210.000,00 € Gesamt: 420.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
346;Landeshauptstadt Hannover;Stadtgebiet Hannover;2023: 90.000,00 € 2024: 90.000,00 € Gesamt: 180.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
347;Landeshauptstadt Kiel;Landeshauptstadt Kiel;2023: 160.000,00 € 2024: 179.000,00 € Gesamt: 339.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
348;Landeshauptstadt Magdeburg;Landeshauptstadt Magdeburg;2023: 143.000,00 € 2024: 76.500,00 € Gesamt: 219.500,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
349;Landeshauptstadt Mainz;Stadt Mainz;2023: 121.500,00 € 2024: 121.500,00 € Gesamt: 243.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
350;Landeshauptstadt Saarbrücken;Stadt Saarbrücken;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
351;Landeshauptstadt Schwerin;PfD LHS Schwerin;2023: 210.000,00 € 2024: 210.000,00 € Gesamt: 420.000,00 €;01.08.2021 - 31.12.2024;Partnerschaften für Demokratie
352;Landeshauptstadt Stuttgart;Stadt Stuttgart;2023: 132.000,00 € 2024: 132.000,00 € Gesamt: 264.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
353;Landeshauptstadt Wiesbaden;Landeshauptstadt Wiesbaden;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
354;Landkreis Altenburger Land;Landkreis Altenburger Land;2023: 89.227,08 € 2024: 93.204,09 € Gesamt: 182.431,17 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
355;Landkreis Ammerland;Landkreis Ammerland;2023: 127.895,00 € 2024: 145.401,60 € Gesamt: 273.296,60 €;01.08.2022 - 31.12.2024;Partnerschaften für Demokratie
356;Landkreis Anhalt-Bitterfeld;Landkreis Anhalt-Bitterfeld (ohne Stadtgebiet Bitterfeld-Wolfen);2023: 117.000,00 € 2024: 160.000,00 € Gesamt: 277.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
357;Landkreis Aurich;Landkreis Aurich;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
358;Landkreis Bamberg;Landkreis Bamberg;2023: 124.000,00 € 2024: 124.000,00 € Gesamt: 248.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
359;Landkreis Bautzen;Landkreis Bautzen (ohne kreisangehörige Stadt Bautzen);2023: 219.750,00 € 2024: 160.000,00 € Gesamt: 379.750,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
360;Landkreis Bayreuth;Landkreis Bayreuth;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
361;Landkreis Biberach;Landkreis Biberach;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2022 - 31.12.2024;Partnerschaften für Demokratie
362;Landkreis Bodenseekreis;Landkreis Bodenseekreis;2023: 140.850,00 € 2024: 135.180,00 € Gesamt: 276.030,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
363;Landkreis Börde;Landkreis Börde;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
364;Landkreis Coburg;Landkreis Coburg;2023: 144.000,00 € 2024: 160.000,00 € Gesamt: 304.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
365;Landkreis Cuxhaven;Landkreis Cuxhaven (ohne die Stadt Cuxhaven);2023: 90.000,00 € 2024: 126.000,00 € Gesamt: 216.000,00 €;15.03.2023 - 31.12.2024;Partnerschaften für Demokratie
366;Landkreis Dachau;Landkreis Dachau;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
367;Landkreis Dahme-Spreewald;Landkreis Dahme-Spreewald;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
368;Landkreis Ebersberg;Landkreis Ebersberg;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
369;Landkreis Eichsfeld;Landkreis Eichsfeld;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
370;Landkreis Eichstätt;Landkreis Eichstätt;2023: 117.000,00 € 2024: 117.000,00 € Gesamt: 234.000,00 €;01.01.2023 - 31.12.2024;Partnerschaften für Demokratie
371;Landkreis Elbe-Elster;Landkreis Elbe-Elster;2023: 76.500,00 € 2024: 76.500,00 € Gesamt: 153.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
372;Landkreis Garmisch- Partenkirchen;Landkreis Garmisch-Partenkirchen;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.06.2021 - 31.12.2024;Partnerschaften für Demokratie
373;Landkreis Göppingen;Landkreis Göppingen;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
374;Landkreis Görlitz;Landkreis Görlitz (ohne Stadt Görlitz und ohne Stadt Zittau);2023: 175.000,00 € 2024: 160.000,00 € Gesamt: 335.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
375;Landkreis Goslar;Landkreis Goslar;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
376;Landkreis Gotha;Landkreis Gotha;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
377;Landkreis Göttingen;Altkreis Osterode im Landkreis Göttingen;2023: 97.560,00 € 2024: 104.850,00 € Gesamt: 202.410,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
378;Landkreis Göttingen;Landkreis Göttingen - Altkreis Göttingen;2023: 144.000,00 € 2024: 144.000,00 € Gesamt: 288.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
379;Landkreis Grafschaft Bentheim;Landkreis Grafschaft Bentheim;2023: 156.100,00 € 2024: 158.600,00 € Gesamt: 314.700,00 €;01.01.2022 - 31.12.2024;Partnerschaften für Demokratie
380;Landkreis Haßberge;Landkreis Haßberge;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
381;Landkreis Hildburghausen;Landkreis Hildburghausen;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
382;Landkreis Hof;Landkreis Hof;2023: 150.000,00 € 2024: 150.000,00 € Gesamt: 300.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
383;Landkreis Ilm-Kreis;Ilm-Kreis;2023: 131.000,00 € 2024: 140.998,76 € Gesamt: 271.998,76 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
384;Landkreis Karlsruhe;Landkreis Karlsruhe;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
385;Landkreis Kassel;PfD im Landkreis Kassel;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.08.2021 - 31.12.2024;Partnerschaften für Demokratie
386;Landkreis Kronach;Landkreis Kronach;2023: 112.500,00 € 2024: 112.500,00 € Gesamt: 225.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
387;Landkreis Kulmbach;Landkreis Kulmbach;2023: 124.200,00 € 2024: 124.200,00 € Gesamt: 248.400,00 €;01.10.2021 - 31.12.2024;Partnerschaften für Demokratie
388;Landkreis Kusel;Landkreis Kusel;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
389;Landkreis Leipzig;Landkreis Leipzig;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
390;Landkreis Lichtenfels;Landkreis Lichtenfels;2023: 125.000,00 € 2024: 160.000,00 € Gesamt: 285.000,00 €;01.02.2023 - 31.12.2024;Partnerschaften für Demokratie
391;Landkreis Limburg-Weilburg;Stadt Bad Camberg und Gemeinden Brechen, Hünfelden und Selters des Landkreises Limburg-Weilburg;2023: 145.000,00 € 2024: 145.000,00 € Gesamt: 290.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
392;Landkreis Ludwigslust-Parchim;Landkreis Ludwigslust-Parchim;2023: 114.300,00 € 2024: 125.000,00 € Gesamt: 239.300,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
393;Landkreis Mansfeld-Südharz;Landkreis Mansfeld-Südharz;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
394;Landkreis Marburg-Biedenkopf;Landkreis Marburg-Biedenkopf;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
395;Landkreis Märkisch-Oderland;Landkreis Märkisch-Oderland;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
396;Landkreis Mecklenburgische Seenplatte;Landkreis Mecklenburgische Seenplatte (ausgenommen Stadt Waren, Stadt Neubrandenburg, Stadt Neustrelitz);2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
397;Landkreis Mittelsachsen;Landkreis Mittelsachsen;2023: 140.000,00 € 2024: 140.000,00 € Gesamt: 280.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
398;Landkreis Neunkirchen;Landkreis Neunkirchen;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
399;Landkreis Neustadt a.d. Waldnaab;Landkreis Neustadt an der Waldnaab;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
400;Landkreis Nordhausen;Landkreis Nordhausen;2023: 134.656,96 € 2024: 160.000,00 € Gesamt: 294.656,96 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
401;Landkreis Nordsachsen Landkreis Eilenburg, Bad;Nordsachsen (ohne die Städte Düben, Gemeinde Laußig);2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
402;Landkreis Nordwestmecklenburg;Landkreis Nordwestmecklenburg ohne Hansestadt Wismar;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
403;Landkreis Northeim;Landkreis Northeim;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
404;Landkreis Oberhavel;Landkreis Oberhavel;2023: 158.400,00 € 2024: 158.000,00 € Gesamt: 316.400,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
405;Landkreis Oberspreewald-Lausitz;PfD Landkreis OSL;2023: 0,00 € 2024: 200.000,00 € Gesamt: 200.000,00 €;01.10.2023 - 31.12.2024;Partnerschaften für Demokratie
406;Landkreis Osterholz;Landkreis Osterholz;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;16.05.2021 - 31.12.2024;Partnerschaften für Demokratie
407;Landkreis Ostprignitz-Ruppin;Landkreis Ostprignitz-Ruppin;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
408;Landkreis Ravensburg;Landkreis Ravensburg ohne Weingarten, Ravensburg und Leutkirch (mit Aitrach und Aichstetten);2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
409;Landkreis Regen;Landkreis Regen;2023: 125.000,00 € 2024: 160.000,00 € Gesamt: 285.000,00 €;01.01.2022 - 31.12.2024;Partnerschaften für Demokratie
410;Landkreis Rostock;Landkreis Rostock (außer Krakow am See und Mecklenburgische Schweiz);2023: 180.000,00 € 2024: 220.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
411;Landkreis Saalekreis;Landkreis Saalekreis (ohne Gebiet der Stadt Merseburg);2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
412;Landkreis Saalfeld-Rudolstadt;Landkreis Saalfeld-Rudolstadt;2023: 174.000,00 € 2024: 220.000,00 € Gesamt: 394.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
413;Landkreis Sächsische Schweiz- Osterzgebirge;Landkreis Sächsische Schweiz- Osterzgebirge;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
414;Landkreis Schmalkalden- Meiningen;Landkreis Schmalkalden-Meiningen;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
415;Landkreis Sömmerda;Landkreis Sömmerda;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
416;Landkreis Sonneberg;Landkreis Sonneberg;2023: 145.000,00 € 2024: 160.000,00 € Gesamt: 305.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
417;Landkreis Spree-Neiße;Landkreis Spree-Neiße (ohne Spremberg);2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
418;Landkreis St. Wendel;PfD Landkreis St. Wendel;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.08.2021 - 31.12.2024;Partnerschaften für Demokratie
419;Landkreis Stendal;Landkreis Stendal ohne das Gebiet der Hansestadt Stendal und ihre Ortsteile;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
420;Landkreis Südwestpfalz;Landkreis Südwestpfalz;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
421;Landkreis Teltow-Fläming;Landkreis Teltow-Fläming;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
422;Landkreis Tirschenreuth;Landkreis Tirschenreuth;2023: 135.000,00 € 2024: 135.000,00 € Gesamt: 270.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
423;Landkreis Uckermark;Landkreis Uckermark;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
424;Landkreis Waldeck-Frankenberg;Landkreis Waldeck-Frankenberg;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
425;Landkreis Weimarer Land;Landkreis Weimarer Land;2023: 150.000,00 € 2024: 150.000,00 € Gesamt: 300.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
426;Landkreis Wittenberg;Landkreis Wittenberg;2023: 142.000,00 € 2024: 142.000,00 € Gesamt: 284.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
427;Landkreis Wolfenbüttel;Landkreis Wolfenbüttel;2023: 115.200,00 € 2024: 115.200,00 € Gesamt: 230.400,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
428;Landkreis Wunsiedel i. Fichtelgebirge;Landkreis Wunsiedel i. Fichtelgebirge;2023: 135.000,00 € 2024: 135.000,00 € Gesamt: 270.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
429;Landratsamt Esslingen;Landkreis Esslingen;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2022 - 31.12.2024;Partnerschaften für Demokratie
430;Leutkirch im Allgäu;Große Kreisstadt Leutkirch im Allgäu;2023: 99.000,00 € 2024: 99.000,00 € Gesamt: 198.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
431;Magistrat der Stadt Kassel, Jugendamt;Stadt Kassel;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.10.2021 - 31.12.2024;Partnerschaften für Demokratie
432;Main-Kinzig-Kreis;Main-Kinzig-Kreis, ausgenommen Hanau, Erlensee und Rodenbach;2023: 117.000,00 € 2024: 117.000,00 € Gesamt: 234.000,00 €;15.05.2021 - 31.12.2024;Partnerschaften für Demokratie
433;Marktflecken Mengerskirchen;Mengerskirchen, Dornburg, Waldbrunn, Elbtal;2023: 108.000,00 € 2024: 108.000,00 € Gesamt: 216.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
434;Nationalparklandkreis Birkenfeld;Landkreis Birkenfeld;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
435;Ostalbkreis;Ostalbkreis;2023: 139.950,00 € 2024: 139.950,00 € Gesamt: 279.900,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
436;Regionalverband Saarbrücken;Regionalverband Saarbrücken;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
437;Rems-Murr-Kreis;Landkreis Rems-Murr-Kreis ohne Kommunen Weissach im Tal, Allmersbach im Tal, Auenwald und Althütte;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
438;Rhein-Erft-Kreis;Rhein-Erft-Kreis;2023: 159.012,00 € 2024: 159.012,00 € Gesamt: 318.024,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
439;Rheingau-Taunus-Kreis;Rheingau-Taunus-Kreis;2023: 160.000,00 € 2024: 125.000,00 € Gesamt: 285.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
440;Rhein-Kreis Neuss;Rhein-Kreis Neuss;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
441;Saale-Holzland-Kreis;Saale-Holzland-Kreis;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
442;Saale-Orla-Kreis;Saale-Orla-Kreis;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
443;Saarpfalz-Kreis;Saarpfalz-Kreis ausgenommen der Kreisstadt Homburg;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
444;Salzlandkreis;Aschersleben, Staßfurt, Bernburg (Saale);2023: 135.000,00 € 2024: 135.000,00 € Gesamt: 270.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
445;Samtgemeinde Bersenbrück;Samtgemeinde Bersenbrück;2023: 98.700,00 € 2024: 100.000,00 € Gesamt: 198.700,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
446;Schwalm-Eder-Kreis;Schwalm-Eder-Kreis;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
447;Stadt Ahlen;Stadt Ahlen;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
448;Stadt Alsfeld;Stadt Alsfeld;2023: 112.500,00 € 2024: 112.500,00 € Gesamt: 225.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
449;Stadt Amberg;Stadt Amberg;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
450;Stadt Augsburg;Stadt Augsburg;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
451;Stadt Backnang;Backnang, Aspach und Burgstetten;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.02.2023 - 31.12.2024;Partnerschaften für Demokratie
452;Stadt Bad Belzig;Bad Belzig;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
453;Stadt Bad Kreuznach;Stadt und Landkreis Bad Kreuznach;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
454;Stadt Bamberg;Stadt Bamberg;2023: 209.200,00 € 2024: 209.200,00 € Gesamt: 418.400,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
455;Stadt Bargteheide;Stadt Bargteheide;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.06.2021 - 31.12.2024;Partnerschaften für Demokratie
456;Stadt Bautzen;Stadt Bautzen;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
457;Stadt Bayreuth;Stadt Bayreuth;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
458;Stadt Bedburg;Stadt Bedburg;2023: 112.500,00 € 2024: 112.500,00 € Gesamt: 225.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
459;Stadt Bergen;Stadt Bergen und Ortsteile;2023: 86.000,00 € 2024: 86.000,00 € Gesamt: 172.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
460;Stadt Bernau bei Berlin;Stadt Bernau bei Berlin;2023: 159.000,00 € 2024: 159.000,00 € Gesamt: 318.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
461;Stadt Bitterfeld-Wolfen;Stadt Bitterfeld-Wolfen inklusive aller Ortsteile und Ortslagen;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
462;Stadt Böblingen;Stadt Böblingen;2023: 126.000,00 € 2024: 126.000,00 € Gesamt: 252.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
463;Stadt Bochum;Stadt Bochum;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
464;Stadt Boizenburg/Elbe;Boizenburg / Elbe und Lübtheen;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
